experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
vary_principals,P1_B1_A1,1,1,1,1,8,4654,ok
vary_principals,P2_B1_A1,2,1,1,2,16,6245,ok
vary_principals,P3_B1_A1,3,1,1,3,24,5798,ok
vary_principals,P4_B1_A1,4,1,1,4,32,4597,ok
vary_principals,P5_B1_A1,5,1,1,5,40,5223,ok
vary_principals,P6_B1_A1,6,1,1,6,48,7117,ok
vary_buckets,P1_B1_A1,1,1,1,1,8,911,ok
vary_buckets,P1_B2_A1,1,2,1,2,16,1485,ok
vary_buckets,P1_B3_A1,1,3,1,3,24,2071,ok
vary_buckets,P1_B4_A1,1,4,1,4,32,3125,ok
vary_buckets,P1_B5_A1,1,5,1,5,40,4589,ok
vary_buckets,P1_B6_A1,1,6,1,6,48,6306,ok
vary_actions,P1_B1_A1,1,1,1,1,8,929,ok
vary_actions,P1_B1_A2,1,1,2,2,16,1331,ok
vary_actions,P1_B1_A3,1,1,3,3,24,1821,ok
vary_actions,P1_B1_A4,1,1,4,4,32,2463,ok
vary_actions,P1_B1_A5,1,1,5,5,40,3362,ok
vary_actions,P1_B1_A6,1,1,6,6,48,4373,ok
