experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
vary_buckets,P1_B1_A1,1,1,1,1,8,7665,ok
vary_buckets,P1_B2_A1,1,2,1,2,16,12088,ok
vary_buckets,P1_B3_A1,1,3,1,3,24,11497,ok
vary_buckets,P1_B4_A1,1,4,1,4,32,7041,ok
vary_buckets,P1_B5_A1,1,5,1,5,40,4959,ok
vary_buckets,P1_B6_A1,1,6,1,6,48,6921,ok
vary_actions,P1_B1_A1,1,1,1,1,8,1026,ok
vary_actions,P1_B1_A2,1,1,2,2,16,1504,ok
vary_actions,P1_B1_A3,1,1,3,3,24,1876,ok
vary_actions,P1_B1_A4,1,1,4,4,32,2587,ok
vary_actions,P1_B1_A5,1,1,5,5,40,3618,ok
vary_actions,P1_B1_A6,1,1,6,6,48,4911,ok
vary_principals,P1_B1_A1,1,1,1,1,8,1206,ok
vary_principals,P2_B1_A1,2,1,1,2,16,1753,ok
vary_principals,P3_B1_A1,3,1,1,3,24,2810,ok
vary_principals,P4_B1_A1,4,1,1,4,32,3653,ok
vary_principals,P5_B1_A1,5,1,1,5,40,5390,ok
vary_principals,P6_B1_A1,6,1,1,6,48,7415,ok
