experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
vary_principals,P1_B1_A1,1,1,1,1,8,4726,ok
vary_principals,P2_B1_A1,2,1,1,2,16,15117,ok
vary_principals,P3_B1_A1,3,1,1,3,24,9112,ok
vary_principals,P4_B1_A1,4,1,1,4,32,5428,ok
vary_principals,P5_B1_A1,5,1,1,5,40,6145,ok
vary_principals,P6_B1_A1,6,1,1,6,48,8126,ok
vary_buckets,P1_B1_A1,1,1,1,1,8,1052,ok
vary_buckets,P1_B2_A1,1,2,1,2,16,1953,ok
vary_buckets,P1_B3_A1,1,3,1,3,24,2541,ok
vary_buckets,P1_B4_A1,1,4,1,4,32,3451,ok
vary_buckets,P1_B5_A1,1,5,1,5,40,5338,ok
vary_buckets,P1_B6_A1,1,6,1,6,48,7092,ok
vary_actions,P1_B1_A1,1,1,1,1,8,1320,ok
vary_actions,P1_B1_A2,1,1,2,2,16,1666,ok
vary_actions,P1_B1_A3,1,1,3,3,24,2308,ok
vary_actions,P1_B1_A4,1,1,4,4,32,2808,ok
