experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
vary_principals,P1_B1_A1,1,1,1,1,8,6435,ok
vary_principals,P2_B1_A1,2,1,1,2,16,5099,ok
vary_principals,P3_B1_A1,3,1,1,3,24,6228,ok
vary_principals,P4_B1_A1,4,1,1,4,32,4335,ok
vary_principals,P5_B1_A1,5,1,1,5,40,5669,ok
vary_principals,P6_B1_A1,6,1,1,6,48,7780,ok
vary_buckets,P1_B1_A1,1,1,1,1,8,974,ok
vary_buckets,P1_B2_A1,1,2,1,2,16,1454,ok
vary_buckets,P1_B3_A1,1,3,1,3,24,2212,ok
vary_buckets,P1_B4_A1,1,4,1,4,32,3266,ok
vary_buckets,P1_B5_A1,1,5,1,5,40,5212,ok
vary_buckets,P1_B6_A1,1,6,1,6,48,6705,ok
vary_actions,P1_B1_A1,1,1,1,1,8,988,ok
vary_actions,P1_B1_A2,1,1,2,2,16,1369,ok
vary_actions,P1_B1_A3,1,1,3,3,24,2219,ok
vary_actions,P1_B1_A4,1,1,4,4,32,2768,ok
