experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
vary_principals,P1_B1_A1,1,1,1,1,8,4995,ok
vary_principals,P2_B1_A1,2,1,1,2,16,7148,ok
vary_principals,P3_B1_A1,3,1,1,3,24,5705,ok
vary_principals,P4_B1_A1,4,1,1,4,32,5326,ok
vary_principals,P5_B1_A1,5,1,1,5,40,5732,ok
vary_principals,P6_B1_A1,6,1,1,6,48,7849,ok
vary_buckets,P1_B1_A1,1,1,1,1,8,1031,ok
vary_buckets,P1_B2_A1,1,2,1,2,16,1481,ok
vary_buckets,P1_B3_A1,1,3,1,3,24,2355,ok
vary_buckets,P1_B4_A1,1,4,1,4,32,3234,ok
vary_buckets,P1_B5_A1,1,5,1,5,40,5452,ok
vary_buckets,P1_B6_A1,1,6,1,6,48,7044,ok
vary_actions,P1_B1_A1,1,1,1,1,8,968,ok
vary_actions,P1_B1_A2,1,1,2,2,16,1512,ok
vary_actions,P1_B1_A3,1,1,3,3,24,2305,ok
vary_actions,P1_B1_A4,1,1,4,4,32,2832,ok
