experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
triples,P1_B1_A1,1,1,1,1,8,916,ok
triples,P2_B1_A1,2,1,1,2,16,1418,ok
triples,P2_B2_A1,2,2,1,4,32,2669,ok
triples,P2_B2_A2,2,2,2,8,64,5908,ok
triples,P3_B2_A2,3,2,2,12,96,11338,ok
triples,P3_B3_A2,3,3,2,18,144,20806,ok
triples,P4_B3_A2,4,3,2,24,192,35135,ok
triples,P4_B4_A2,4,4,2,32,256,58142,ok
triples,P4_B4_A3,4,4,3,48,384,108550,ok
triples,P4_B4_A4,4,4,4,64,512,174901,ok
