experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
vary_principals,P1_B1_A1,1,1,1,1,8,5707,ok
vary_principals,P2_B1_A1,2,1,1,2,16,12102,ok
vary_principals,P3_B1_A1,3,1,1,3,24,11605,ok
vary_principals,P4_B1_A1,4,1,1,4,32,6402,ok
vary_principals,P5_B1_A1,5,1,1,5,40,6159,ok
vary_principals,P6_B1_A1,6,1,1,6,48,8070,ok
vary_buckets,P1_B1_A1,1,1,1,1,8,1010,ok
vary_buckets,P1_B2_A1,1,2,1,2,16,1511,ok
vary_buckets,P1_B3_A1,1,3,1,3,24,2313,ok
vary_buckets,P1_B4_A1,1,4,1,4,32,3369,ok
vary_buckets,P1_B5_A1,1,5,1,5,40,5010,ok
vary_buckets,P1_B6_A1,1,6,1,6,48,6786,ok
vary_actions,P1_B1_A1,1,1,1,1,8,991,ok
vary_actions,P1_B1_A2,1,1,2,2,16,1539,ok
vary_actions,P1_B1_A3,1,1,3,3,24,2436,ok
vary_actions,P1_B1_A4,1,1,4,4,32,2770,ok
