experiment,label,principals,buckets,actions,triples,assertions,elapsed_ms,status
vary_principals,P1_B1_A1,1,1,1,1,8,1229,ok
vary_principals,P2_B1_A1,2,1,1,2,16,1740,ok
vary_principals,P3_B1_A1,3,1,1,3,24,3706,ok
vary_principals,P4_B1_A1,4,1,1,4,32,5481,ok
vary_principals,P5_B1_A1,5,1,1,5,40,5171,ok
vary_principals,P6_B1_A1,6,1,1,6,48,6925,ok
vary_buckets,P1_B1_A1,1,1,1,1,8,1078,ok
vary_buckets,P1_B2_A1,1,2,1,2,16,1638,ok
vary_buckets,P1_B3_A1,1,3,1,3,24,2567,ok
vary_buckets,P1_B4_A1,1,4,1,4,32,3313,ok
vary_buckets,P1_B5_A1,1,5,1,5,40,5491,ok
vary_buckets,P1_B6_A1,1,6,1,6,48,6913,ok
vary_actions,P1_B1_A1,1,1,1,1,8,1053,ok
vary_actions,P1_B1_A2,1,1,2,2,16,1746,ok
vary_actions,P1_B1_A3,1,1,3,3,24,2055,ok
vary_actions,P1_B1_A4,1,1,4,4,32,2687,ok
vary_actions,P1_B1_A5,1,1,5,5,40,3679,ok
vary_actions,P1_B1_A6,1,1,6,6,48,4894,ok
